tanggal,Yield_BRA_MAY_54,Yield_CHIL_JAN_54,Yield_COL_NOV_54,Yield_INDO_SEP_54,Yield_KSA_JAN_54,Yield_MEX_MAY_55,Yield_SOAF_NOV_54,Yield_US_CT_30Y,Spread_BRA_MAY_54,Spread_CHIL_JAN_54,Spread_COL_NOV_54,Spread_INDO_SEP_54,Spread_KSA_JAN_54,Spread_MEX_MAY_55,Spread_SOAF_NOV_54,Yield_BRA_JAN_56,Spread_BRA_JAN_56
2020-03-16,5.587,3.738,5.151,3.651,4.652,4.9,7.631,1.288,429.9,245.0,386.3,236.3,336.4,361.2,634.3,,
2020-03-17,5.656,3.88,5.229,3.704,4.97,4.975,7.953,1.688,396.8,219.2,354.1,201.6,328.2,328.7,626.5,,
2020-03-18,6.636,4.583,6.278,3.954,5.399,5.977,8.597,1.793,484.3,279.0,448.5,216.1,360.6,418.4,680.4,,
2020-03-19,6.64,4.698,6.416,4.371,5.668,5.915,9.121,1.788,485.2,291.0,462.8,258.3,388.0,412.7,733.3,,
2020-03-20,6.256,4.271,5.941,3.903,5.041,5.314,8.54,1.42,483.6,285.1,452.1,248.3,362.1,389.4,712.0,,
2020-03-23,6.282,4.232,5.974,4.126,5.248,5.376,8.919,1.355,492.7,287.7,461.9,277.1,389.3,402.1,756.4,,
2020-03-24,5.795,3.936,5.577,3.849,4.908,5.115,8.533,1.398,439.7,253.8,417.9,245.1,351.0,371.7,713.5,,
2020-03-25,5.189,3.283,4.937,3.527,4.576,4.425,7.912,1.448,374.1,183.5,348.9,207.9,312.8,297.7,646.4,,
2020-03-26,4.93,3.197,4.692,3.414,4.457,4.262,7.58,1.435,349.5,176.2,325.7,197.9,302.2,282.7,614.5,,
2020-03-27,5.162,3.361,5.031,3.408,4.38,4.561,7.84,1.267,389.5,209.4,376.4,214.1,311.3,329.4,657.3,,
2020-03-30,5.314,3.319,4.96,3.545,4.652,4.605,8.173,1.339,397.5,198.0,362.1,220.6,331.3,326.6,683.4,,
2020-03-31,5.285,3.276,4.864,3.467,4.495,4.508,8.206,1.324,396.1,195.2,354.0,214.3,317.1,318.4,688.2,,
2020-04-01,5.536,3.5,5.089,3.538,4.471,4.833,8.535,1.222,431.4,227.8,386.7,231.6,324.9,361.1,731.3,,
2020-04-02,5.708,3.563,5.165,3.566,4.504,4.849,8.53,1.243,446.5,232.0,392.2,232.3,326.1,360.6,728.7,,
