tanggal_lelang_pricing,code,tenor,ust_10y,ust_2y,vix,move,dxy,ndf_1m,ndf_12m,idr_regn,ust_3m,xau_gold,inflation,slope_10y_2y,slope_2y_3m,cds_5y,indo_10y,tenor_x_ust10y,vix_x_move,prev_owners_estimate_code,prev_way_awarded_code,days_since_prev_auction_code,auctions_since_prev_code,prev_bid_to_cover_ratio_code,prev_total_penawaran_code,prev_total_penawaran_diterima_code,owners_estimate
22/08/2023,spn12m,0.996577687,4.341,5.003,17.13,130.69,103.3,0.254486134,0.998368679,15325,5.439,1894.93,3.11,-0.662,-0.436,89.265,6.576044,4.326143739,2238.7197,5.4,0,14,84,0,1771000,0,5.48
22/08/2023,bm15,14.80903491,4.341,5.003,17.13,130.69,103.3,0.254486134,0.998368679,15325,5.439,1894.93,3.11,-0.662,-0.436,89.265,6.576044,64.28602054,2238.7197,6.48,6.47998,14,84,1.691333333,7357300,4350000,6.81
22/08/2023,bm30,27.97535934,4.341,5.003,17.13,130.69,103.3,0.254486134,0.998368679,15325,5.439,1894.93,3.11,-0.662,-0.436,89.265,6.576044,121.4410349,2238.7197,6.71,6.70945,14,84,2.323066667,1742300,750000,6.82
22/08/2023,bm05,4.977412731,4.341,5.003,17.13,130.69,103.3,0.254486134,0.998368679,15325,5.439,1894.93,3.11,-0.662,-0.436,89.265,6.576044,21.60694867,2238.7197,6.04,6.03997,14,84,8.007555556,3603400,450000,6.25
05/09/2023,spn03m,0.249144422,4.18,4.881,13.82,102.92,104.236,-0.019685039,0.649606299,15240,5.423,1942.69,3.45,-0.701,-0.542,78.895,6.453666,1.041423684,1422.3544,4.7,0,14,85,0,0,750000,4.75
05/09/2023,bm20,19.77002053,4.18,4.881,13.82,102.92,104.236,-0.019685039,0.649606299,15240,5.423,1942.69,3.45,-0.701,-0.542,78.895,6.453666,82.63868582,1422.3544,6.82,0,14,85,0,1889000,0,6.62
05/09/2023,bm30,27.93702943,4.18,4.881,13.82,102.92,104.236,-0.019685039,0.649606299,15240,5.423,1942.69,3.45,-0.701,-0.542,78.895,6.453666,116.776783,1422.3544,6.82,6.81243,14,85,111.58,2231600,20000,6.71
05/09/2023,bm15,14.770705,4.18,4.881,13.82,102.92,104.236,-0.019685039,0.649606299,15240,5.423,1942.69,3.45,-0.701,-0.542,78.895,6.453666,61.7415469,1422.3544,6.81,6.80714,14,85,23.8144,5953600,250000,6.48
05/09/2023,bm10,10.4421629,4.18,4.881,13.82,102.92,104.236,-0.019685039,0.649606299,15240,5.423,1942.69,3.45,-0.701,-0.542,78.895,6.453666,43.64824092,1422.3544,6.69,6.68988,14,85,2.85140146,19532100,6850000,6.41
05/09/2023,bm05,4.93908282,4.18,4.881,13.82,102.92,104.236,-0.019685039,0.649606299,15240,5.423,1942.69,3.45,-0.701,-0.542,78.895,6.453666,20.64536619,1422.3544,6.25,6.24,14,85,80.4,4020000,50000,6.1
05/09/2023,spn12m,0.725530459,4.18,4.881,13.82,102.92,104.236,-0.019685039,0.649606299,15240,5.423,1942.69,3.45,-0.701,-0.542,78.895,6.453666,3.032717319,1422.3544,5.48,5.47174,14,85,1.392857143,975000,700000,5.5
19/09/2023,bm20,19.73169062,4.304,5.055,14,99.32,105.202,0.07156799,0.728692258,15370,5.46,1933.84,3.45,-0.751,-0.405,80.49,6.72284,84.92519643,1390.48,6.62,6.61763,14,86,1.230540541,2276500,1850000,6.94
